x=3.963;y=3.911;z=-3.533
x=-0.562;y=-2.928;z=4.435
x=4.055;y=2.591;z=-2.544
x=5.425;y=6.529;z=1.971
x=-4.779;y=-4.904;z=1.285
x=-0.049;y=-3.135;z=4.659
x=-5.988;y=2.476;z=5.083
x=1.302;y=2.243;z=-4.113
x=5.184;y=5.76;z=-0.526
x=2.256;y=-3.168;z=-2.27
x=3.776;y=-2.232;z=1.533
x=-0.697;y=-1.664;z=2.398
x=1.399;y=-4.148;z=-4.206
x=-1.726;y=-4.31;z=3.148
x=0.198;y=-1.469;z=0.963
x=2.989;y=-4.85;z=-3.694
x=3.927;y=-1.266;z=3.167
x=-3.542;y=0.308;z=-1.765
x=-2.644;y=-0.102;z=-0.515
x=-4.506;y=2.772;z=0.252
x=-4.715;y=-0.561;z=-4.144
x=-0.45;y=-4.308;z=2.77
x=4.733;y=0.185;z=-3.808
x=2.164;y=0.041;z=0.418
x=1.481;y=-4.738;z=-1.243
x=0.761;y=4.165;z=4.965
x=-1.239;y=-0.422;z=-4.93
x=-0.917;y=-4.057;z=3.303
x=3.286;y=-2.541;z=1.986
x=4.562;y=2.508;z=-6.209
x=-4.266;y=2.585;z=-3.181
x=-4.151;y=3.447;z=-2.308
x=-3.078;y=3.913;z=3.095
x=-1.618;y=1.53;z=-2.598
x=1.739;y=0.14;z=-1.237
x=-4.277;y=-1.371;z=2.791
x=4.673;y=4.158;z=1.246
x=1.162;y=3.881;z=-3.337
x=2.84;y=4.205;z=4.593
x=-3.658;y=-0.966;z=-0.286
x=-3.962;y=2.173;z=4.462
x=3.759;y=-4.065;z=0.991
x=3.412;y=-1.257;z=3.844
x=-3.876;y=-2.255;z=-3.151
x=-1.085;y=3.434;z=-3.26
x=-2.654;y=6.038;z=5.292
x=-0.939;y=-3.688;z=-0.519
x=-2.439;y=3.726;z=0.068
x=0.179;y=0.367;z=-1.968
x=-2.909;y=-1.468;z=-3.389
x=-4.108;y=3.376;z=-3.084
x=3.027;y=-4.769;z=-1.976
x=0.873;y=0.614;z=0.084
x=4.234;y=0.404;z=-1.167
x=-0.051;y=-4.248;z=0.079
x=2.81;y=-2.333;z=-0.037
x=4.744;y=0.437;z=-0.167
x=-4.032;y=1.041;z=4.299
x=4.018;y=2.498;z=-1.644
x=-2.036;y=3.978;z=1.035
x=2.878;y=2.203;z=-3.935
x=-1.608;y=-4.069;z=1.933
x=2.429;y=3.72;z=-4.321
x=-3.297;y=3.124;z=-2.219
x=-0.32;y=6.995;z=-5.272
x=-1.116;y=-4.792;z=3.857
x=3.941;y=0.052;z=0.303
x=-0.722;y=-1.203;z=-1.036
x=3.254;y=-2.812;z=-3.036
x=-2.295;y=-0.511;z=1.297
x=4.934;y=-3.756;z=4.131
x=-1.413;y=0.339;z=-1.002
x=-0.265;y=-4.242;z=1.293
x=3.149;y=3.774;z=0.11
x=-1.953;y=2.029;z=1.086
x=-3.804;y=-3.229;z=1.106
x=4.076;y=-4.221;z=-0.848
x=1.625;y=-3.528;z=-2.753
x=3.062;y=4.648;z=0.839
x=4.691;y=2.709;z=1.069
x=-2.094;y=3.848;z=0.202
x=0.699;y=-3.254;z=2.146
x=-0.777;y=0.299;z=2.607
x=-1.322;y=-2.0;z=2.695
x=-3.981;y=-3.822;z=-3.906
x=4.056;y=0.785;z=-1.078
x=-2.203;y=-4.388;z=1.045
x=-1.909;y=-0.677;z=3.237
